,country,week,count
0,Afghanistan,4,0
1,Albania,4,0
2,Algeria,4,0
3,Andorra,4,0
4,Angola,4,0
5,Antigua and Barbuda,4,0
6,Argentina,4,0
7,Armenia,4,0
8,Australia,4,0
9,Austria,4,0
10,Azerbaijan,4,0
11,Bahamas,4,0
12,Bahrain,4,0
13,Bangladesh,4,0
14,Barbados,4,0
15,Belarus,4,0
16,Belgium,4,0
17,Belize,4,0
18,Benin,4,0
19,Bhutan,4,0
20,Bolivia,4,0
21,Bosnia and Herzegovina,4,0
22,Brazil,4,0
23,Brunei,4,0
24,Bulgaria,4,0
25,Burkina Faso,4,0
26,Cabo Verde,4,0
27,Cambodia,4,0
28,Cameroon,4,0
29,Canada,4,0
30,Central African Republic,4,0
31,Chad,4,0
32,Chile,4,0
33,China,4,56
34,Colombia,4,0
35,Congo (Brazzaville),4,0
36,Congo (Kinshasa),4,0
37,Costa Rica,4,0
38,Cote d'Ivoire,4,0
39,Croatia,4,0
40,Cuba,4,0
41,Cyprus,4,0
42,Czechia,4,0
43,Denmark,4,0
44,Diamond Princess,4,0
45,Djibouti,4,0
46,Dominica,4,0
47,Dominican Republic,4,0
48,Ecuador,4,0
49,Egypt,4,0
50,El Salvador,4,0
51,Equatorial Guinea,4,0
52,Eritrea,4,0
53,Estonia,4,0
54,Eswatini,4,0
55,Ethiopia,4,0
56,Fiji,4,0
57,Finland,4,0
58,France,4,0
59,Gabon,4,0
60,Gambia,4,0
61,Georgia,4,0
62,Germany,4,0
63,Ghana,4,0
64,Greece,4,0
65,Grenada,4,0
66,Guatemala,4,0
67,Guinea,4,0
68,Guyana,4,0
69,Haiti,4,0
70,Holy See,4,0
71,Honduras,4,0
72,Hungary,4,0
73,Iceland,4,0
74,India,4,0
75,Indonesia,4,0
76,Iran,4,0
77,Iraq,4,0
78,Ireland,4,0
79,Israel,4,0
80,Italy,4,0
81,Jamaica,4,0
82,Japan,4,0
83,Jordan,4,0
84,Kazakhstan,4,0
85,Kenya,4,0
86,"Korea, South",4,0
87,Kuwait,4,0
88,Kyrgyzstan,4,0
89,Laos,4,0
90,Latvia,4,0
91,Lebanon,4,0
92,Liberia,4,0
93,Libya,4,0
94,Liechtenstein,4,0
95,Lithuania,4,0
96,Luxembourg,4,0
97,Madagascar,4,0
98,Malaysia,4,0
99,Maldives,4,0
100,Malta,4,0
101,Mauritania,4,0
102,Mauritius,4,0
103,Mexico,4,0
104,Moldova,4,0
105,Monaco,4,0
106,Mongolia,4,0
107,Montenegro,4,0
108,Morocco,4,0
109,Mozambique,4,0
110,Namibia,4,0
111,Nepal,4,0
112,Netherlands,4,0
113,New Zealand,4,0
114,Nicaragua,4,0
115,Niger,4,0
116,Nigeria,4,0
117,North Macedonia,4,0
118,Norway,4,0
119,Oman,4,0
120,Pakistan,4,0
121,Panama,4,0
122,Papua New Guinea,4,0
123,Paraguay,4,0
124,Peru,4,0
125,Philippines,4,0
126,Poland,4,0
127,Portugal,4,0
128,Qatar,4,0
129,Romania,4,0
130,Russia,4,0
131,Rwanda,4,0
132,Saint Lucia,4,0
133,Saint Vincent and the Grenadines,4,0
134,San Marino,4,0
135,Saudi Arabia,4,0
136,Senegal,4,0
137,Serbia,4,0
138,Seychelles,4,0
139,Singapore,4,0
140,Slovakia,4,0
141,Slovenia,4,0
142,Somalia,4,0
143,South Africa,4,0
144,Spain,4,0
145,Sri Lanka,4,0
146,Sudan,4,0
147,Suriname,4,0
148,Sweden,4,0
149,Switzerland,4,0
150,Syria,4,0
151,Taiwan*,4,0
152,Tanzania,4,0
153,Thailand,4,0
154,Timor-Leste,4,0
155,Togo,4,0
156,Trinidad and Tobago,4,0
157,Tunisia,4,0
158,Turkey,4,0
159,US,4,0
160,Uganda,4,0
161,Ukraine,4,0
162,United Arab Emirates,4,0
163,United Kingdom,4,0
164,Uruguay,4,0
165,Uzbekistan,4,0
166,Venezuela,4,0
167,Vietnam,4,0
168,Zambia,4,0
169,Zimbabwe,4,0
170,Afghanistan,5,0
171,Albania,5,0
172,Algeria,5,0
173,Andorra,5,0
174,Angola,5,0
175,Antigua and Barbuda,5,0
176,Argentina,5,0
177,Armenia,5,0
178,Australia,5,0
179,Austria,5,0
180,Azerbaijan,5,0
181,Bahamas,5,0
182,Bahrain,5,0
183,Bangladesh,5,0
184,Barbados,5,0
185,Belarus,5,0
186,Belgium,5,0
187,Belize,5,0
188,Benin,5,0
189,Bhutan,5,0
190,Bolivia,5,0
191,Bosnia and Herzegovina,5,0
192,Brazil,5,0
193,Brunei,5,0
194,Bulgaria,5,0
195,Burkina Faso,5,0
196,Cabo Verde,5,0
197,Cambodia,5,0
198,Cameroon,5,0
199,Canada,5,0
200,Central African Republic,5,0
201,Chad,5,0
202,Chile,5,0
203,China,5,361
204,Colombia,5,0
205,Congo (Brazzaville),5,0
206,Congo (Kinshasa),5,0
207,Costa Rica,5,0
208,Cote d'Ivoire,5,0
209,Croatia,5,0
210,Cuba,5,0
211,Cyprus,5,0
212,Czechia,5,0
213,Denmark,5,0
214,Diamond Princess,5,0
215,Djibouti,5,0
216,Dominica,5,0
217,Dominican Republic,5,0
218,Ecuador,5,0
219,Egypt,5,0
220,El Salvador,5,0
221,Equatorial Guinea,5,0
222,Eritrea,5,0
223,Estonia,5,0
224,Eswatini,5,0
225,Ethiopia,5,0
226,Fiji,5,0
227,Finland,5,0
228,France,5,0
229,Gabon,5,0
230,Gambia,5,0
231,Georgia,5,0
232,Germany,5,0
233,Ghana,5,0
234,Greece,5,0
235,Grenada,5,0
236,Guatemala,5,0
237,Guinea,5,0
238,Guyana,5,0
239,Haiti,5,0
240,Holy See,5,0
241,Honduras,5,0
242,Hungary,5,0
243,Iceland,5,0
244,India,5,0
245,Indonesia,5,0
246,Iran,5,0
247,Iraq,5,0
248,Ireland,5,0
249,Israel,5,0
250,Italy,5,0
251,Jamaica,5,0
252,Japan,5,0
253,Jordan,5,0
254,Kazakhstan,5,0
255,Kenya,5,0
256,"Korea, South",5,0
257,Kuwait,5,0
258,Kyrgyzstan,5,0
259,Laos,5,0
260,Latvia,5,0
261,Lebanon,5,0
262,Liberia,5,0
263,Libya,5,0
264,Liechtenstein,5,0
265,Lithuania,5,0
266,Luxembourg,5,0
267,Madagascar,5,0
268,Malaysia,5,0
269,Maldives,5,0
270,Malta,5,0
271,Mauritania,5,0
272,Mauritius,5,0
273,Mexico,5,0
274,Moldova,5,0
275,Monaco,5,0
276,Mongolia,5,0
277,Montenegro,5,0
278,Morocco,5,0
279,Mozambique,5,0
280,Namibia,5,0
281,Nepal,5,0
282,Netherlands,5,0
283,New Zealand,5,0
284,Nicaragua,5,0
285,Niger,5,0
286,Nigeria,5,0
287,North Macedonia,5,0
288,Norway,5,0
289,Oman,5,0
290,Pakistan,5,0
291,Panama,5,0
292,Papua New Guinea,5,0
293,Paraguay,5,0
294,Peru,5,0
295,Philippines,5,1
296,Poland,5,0
297,Portugal,5,0
298,Qatar,5,0
299,Romania,5,0
300,Russia,5,0
301,Rwanda,5,0
302,Saint Lucia,5,0
303,Saint Vincent and the Grenadines,5,0
304,San Marino,5,0
305,Saudi Arabia,5,0
306,Senegal,5,0
307,Serbia,5,0
308,Seychelles,5,0
309,Singapore,5,0
310,Slovakia,5,0
311,Slovenia,5,0
312,Somalia,5,0
313,South Africa,5,0
314,Spain,5,0
315,Sri Lanka,5,0
316,Sudan,5,0
317,Suriname,5,0
318,Sweden,5,0
319,Switzerland,5,0
320,Syria,5,0
321,Taiwan*,5,0
322,Tanzania,5,0
323,Thailand,5,0
324,Timor-Leste,5,0
325,Togo,5,0
326,Trinidad and Tobago,5,0
327,Tunisia,5,0
328,Turkey,5,0
329,US,5,0
330,Uganda,5,0
331,Ukraine,5,0
332,United Arab Emirates,5,0
333,United Kingdom,5,0
334,Uruguay,5,0
335,Uzbekistan,5,0
336,Venezuela,5,0
337,Vietnam,5,0
338,Zambia,5,0
339,Zimbabwe,5,0
340,Afghanistan,6,0
341,Albania,6,0
342,Algeria,6,0
343,Andorra,6,0
344,Angola,6,0
345,Antigua and Barbuda,6,0
346,Argentina,6,0
347,Armenia,6,0
348,Australia,6,0
349,Austria,6,0
350,Azerbaijan,6,0
351,Bahamas,6,0
352,Bahrain,6,0
353,Bangladesh,6,0
354,Barbados,6,0
355,Belarus,6,0
356,Belgium,6,0
357,Belize,6,0
358,Benin,6,0
359,Bhutan,6,0
360,Bolivia,6,0
361,Bosnia and Herzegovina,6,0
362,Brazil,6,0
363,Brunei,6,0
364,Bulgaria,6,0
365,Burkina Faso,6,0
366,Cabo Verde,6,0
367,Cambodia,6,0
368,Cameroon,6,0
369,Canada,6,0
370,Central African Republic,6,0
371,Chad,6,0
372,Chile,6,0
373,China,6,905
374,Colombia,6,0
375,Congo (Brazzaville),6,0
376,Congo (Kinshasa),6,0
377,Costa Rica,6,0
378,Cote d'Ivoire,6,0
379,Croatia,6,0
380,Cuba,6,0
381,Cyprus,6,0
382,Czechia,6,0
383,Denmark,6,0
384,Diamond Princess,6,0
385,Djibouti,6,0
386,Dominica,6,0
387,Dominican Republic,6,0
388,Ecuador,6,0
389,Egypt,6,0
390,El Salvador,6,0
391,Equatorial Guinea,6,0
392,Eritrea,6,0
393,Estonia,6,0
394,Eswatini,6,0
395,Ethiopia,6,0
396,Fiji,6,0
397,Finland,6,0
398,France,6,0
399,Gabon,6,0
400,Gambia,6,0
401,Georgia,6,0
402,Germany,6,0
403,Ghana,6,0
404,Greece,6,0
405,Grenada,6,0
406,Guatemala,6,0
407,Guinea,6,0
408,Guyana,6,0
409,Haiti,6,0
410,Holy See,6,0
411,Honduras,6,0
412,Hungary,6,0
413,Iceland,6,0
414,India,6,0
415,Indonesia,6,0
416,Iran,6,0
417,Iraq,6,0
418,Ireland,6,0
419,Israel,6,0
420,Italy,6,0
421,Jamaica,6,0
422,Japan,6,0
423,Jordan,6,0
424,Kazakhstan,6,0
425,Kenya,6,0
426,"Korea, South",6,0
427,Kuwait,6,0
428,Kyrgyzstan,6,0
429,Laos,6,0
430,Latvia,6,0
431,Lebanon,6,0
432,Liberia,6,0
433,Libya,6,0
434,Liechtenstein,6,0
435,Lithuania,6,0
436,Luxembourg,6,0
437,Madagascar,6,0
438,Malaysia,6,0
439,Maldives,6,0
440,Malta,6,0
441,Mauritania,6,0
442,Mauritius,6,0
443,Mexico,6,0
444,Moldova,6,0
445,Monaco,6,0
446,Mongolia,6,0
447,Montenegro,6,0
448,Morocco,6,0
449,Mozambique,6,0
450,Namibia,6,0
451,Nepal,6,0
452,Netherlands,6,0
453,New Zealand,6,0
454,Nicaragua,6,0
455,Niger,6,0
456,Nigeria,6,0
457,North Macedonia,6,0
458,Norway,6,0
459,Oman,6,0
460,Pakistan,6,0
461,Panama,6,0
462,Papua New Guinea,6,0
463,Paraguay,6,0
464,Peru,6,0
465,Philippines,6,1
466,Poland,6,0
467,Portugal,6,0
468,Qatar,6,0
469,Romania,6,0
470,Russia,6,0
471,Rwanda,6,0
472,Saint Lucia,6,0
473,Saint Vincent and the Grenadines,6,0
474,San Marino,6,0
475,Saudi Arabia,6,0
476,Senegal,6,0
477,Serbia,6,0
478,Seychelles,6,0
479,Singapore,6,0
480,Slovakia,6,0
481,Slovenia,6,0
482,Somalia,6,0
483,South Africa,6,0
484,Spain,6,0
485,Sri Lanka,6,0
486,Sudan,6,0
487,Suriname,6,0
488,Sweden,6,0
489,Switzerland,6,0
490,Syria,6,0
491,Taiwan*,6,0
492,Tanzania,6,0
493,Thailand,6,0
494,Timor-Leste,6,0
495,Togo,6,0
496,Trinidad and Tobago,6,0
497,Tunisia,6,0
498,Turkey,6,0
499,US,6,0
500,Uganda,6,0
501,Ukraine,6,0
502,United Arab Emirates,6,0
503,United Kingdom,6,0
504,Uruguay,6,0
505,Uzbekistan,6,0
506,Venezuela,6,0
507,Vietnam,6,0
508,Zambia,6,0
509,Zimbabwe,6,0
510,Afghanistan,7,0
511,Albania,7,0
512,Algeria,7,0
513,Andorra,7,0
514,Angola,7,0
515,Antigua and Barbuda,7,0
516,Argentina,7,0
517,Armenia,7,0
518,Australia,7,0
519,Austria,7,0
520,Azerbaijan,7,0
521,Bahamas,7,0
522,Bahrain,7,0
523,Bangladesh,7,0
524,Barbados,7,0
525,Belarus,7,0
526,Belgium,7,0
527,Belize,7,0
528,Benin,7,0
529,Bhutan,7,0
530,Bolivia,7,0
531,Bosnia and Herzegovina,7,0
532,Brazil,7,0
533,Brunei,7,0
534,Bulgaria,7,0
535,Burkina Faso,7,0
536,Cabo Verde,7,0
537,Cambodia,7,0
538,Cameroon,7,0
539,Canada,7,0
540,Central African Republic,7,0
541,Chad,7,0
542,Chile,7,0
543,China,7,1766
544,Colombia,7,0
545,Congo (Brazzaville),7,0
546,Congo (Kinshasa),7,0
547,Costa Rica,7,0
548,Cote d'Ivoire,7,0
549,Croatia,7,0
550,Cuba,7,0
551,Cyprus,7,0
552,Czechia,7,0
553,Denmark,7,0
554,Diamond Princess,7,0
555,Djibouti,7,0
556,Dominica,7,0
557,Dominican Republic,7,0
558,Ecuador,7,0
559,Egypt,7,0
560,El Salvador,7,0
561,Equatorial Guinea,7,0
562,Eritrea,7,0
563,Estonia,7,0
564,Eswatini,7,0
565,Ethiopia,7,0
566,Fiji,7,0
567,Finland,7,0
568,France,7,1
569,Gabon,7,0
570,Gambia,7,0
571,Georgia,7,0
572,Germany,7,0
573,Ghana,7,0
574,Greece,7,0
575,Grenada,7,0
576,Guatemala,7,0
577,Guinea,7,0
578,Guyana,7,0
579,Haiti,7,0
580,Holy See,7,0
581,Honduras,7,0
582,Hungary,7,0
583,Iceland,7,0
584,India,7,0
585,Indonesia,7,0
586,Iran,7,0
587,Iraq,7,0
588,Ireland,7,0
589,Israel,7,0
590,Italy,7,0
591,Jamaica,7,0
592,Japan,7,1
593,Jordan,7,0
594,Kazakhstan,7,0
595,Kenya,7,0
596,"Korea, South",7,0
597,Kuwait,7,0
598,Kyrgyzstan,7,0
599,Laos,7,0
600,Latvia,7,0
601,Lebanon,7,0
602,Liberia,7,0
603,Libya,7,0
604,Liechtenstein,7,0
605,Lithuania,7,0
606,Luxembourg,7,0
607,Madagascar,7,0
608,Malaysia,7,0
609,Maldives,7,0
610,Malta,7,0
611,Mauritania,7,0
612,Mauritius,7,0
613,Mexico,7,0
614,Moldova,7,0
615,Monaco,7,0
616,Mongolia,7,0
617,Montenegro,7,0
618,Morocco,7,0
619,Mozambique,7,0
620,Namibia,7,0
621,Nepal,7,0
622,Netherlands,7,0
623,New Zealand,7,0
624,Nicaragua,7,0
625,Niger,7,0
626,Nigeria,7,0
627,North Macedonia,7,0
628,Norway,7,0
629,Oman,7,0
630,Pakistan,7,0
631,Panama,7,0
632,Papua New Guinea,7,0
633,Paraguay,7,0
634,Peru,7,0
635,Philippines,7,1
636,Poland,7,0
637,Portugal,7,0
638,Qatar,7,0
639,Romania,7,0
640,Russia,7,0
641,Rwanda,7,0
642,Saint Lucia,7,0
643,Saint Vincent and the Grenadines,7,0
644,San Marino,7,0
645,Saudi Arabia,7,0
646,Senegal,7,0
647,Serbia,7,0
648,Seychelles,7,0
649,Singapore,7,0
650,Slovakia,7,0
651,Slovenia,7,0
652,Somalia,7,0
653,South Africa,7,0
654,Spain,7,0
655,Sri Lanka,7,0
656,Sudan,7,0
657,Suriname,7,0
658,Sweden,7,0
659,Switzerland,7,0
660,Syria,7,0
661,Taiwan*,7,1
662,Tanzania,7,0
663,Thailand,7,0
664,Timor-Leste,7,0
665,Togo,7,0
666,Trinidad and Tobago,7,0
667,Tunisia,7,0
668,Turkey,7,0
669,US,7,0
670,Uganda,7,0
671,Ukraine,7,0
672,United Arab Emirates,7,0
673,United Kingdom,7,0
674,Uruguay,7,0
